noisy,clean,text
noisy_trainset_28spk_wav/p228_137.wav,clean_trainset_28spk_wav/p228_137.wav,Who will attend ?
noisy_trainset_28spk_wav/p268_181.wav,clean_trainset_28spk_wav/p268_181.wav,Pressure of work is no excuse.
noisy_trainset_28spk_wav/p250_065.wav,clean_trainset_28spk_wav/p250_065.wav,This is the first step.
noisy_trainset_28spk_wav/p273_234.wav,clean_trainset_28spk_wav/p273_234.wav,The irony was not lost.
noisy_trainset_28spk_wav/p270_419.wav,clean_trainset_28spk_wav/p270_419.wav,Surrey police said no body had been found.
noisy_trainset_28spk_wav/p239_177.wav,clean_trainset_28spk_wav/p239_177.wav,There was a fossil on screen.
noisy_trainset_28spk_wav/p226_224.wav,clean_trainset_28spk_wav/p226_224.wav,It was a miserable afternoon in Fife.
noisy_trainset_28spk_wav/p267_122.wav,clean_trainset_28spk_wav/p267_122.wav,My conscience is not clear.
noisy_trainset_28spk_wav/p228_324.wav,clean_trainset_28spk_wav/p228_324.wav,There was no option.
noisy_trainset_28spk_wav/p243_281.wav,clean_trainset_28spk_wav/p243_281.wav,Analysts believed the market would welcome the group's plan.
noisy_trainset_28spk_wav/p276_176.wav,clean_trainset_28spk_wav/p276_176.wav,It took five months to repair the damage.
noisy_trainset_28spk_wav/p277_035.wav,clean_trainset_28spk_wav/p277_035.wav,"Then, suddenly, they weren't."
noisy_trainset_28spk_wav/p230_038.wav,clean_trainset_28spk_wav/p230_038.wav,They said she was stable.
noisy_trainset_28spk_wav/p233_025.wav,clean_trainset_28spk_wav/p233_025.wav,We are a service industry.
noisy_trainset_28spk_wav/p233_058.wav,clean_trainset_28spk_wav/p233_058.wav,"For the meantime, though, the signs are good."
noisy_trainset_28spk_wav/p228_182.wav,clean_trainset_28spk_wav/p228_182.wav,It is hard to avoid the conclusion that lessons have been learned.
noisy_trainset_28spk_wav/p230_220.wav,clean_trainset_28spk_wav/p230_220.wav,His second was a beauty.
noisy_trainset_28spk_wav/p274_185.wav,clean_trainset_28spk_wav/p274_185.wav,Women were mostly notable by their absence.)
noisy_trainset_28spk_wav/p239_059.wav,clean_trainset_28spk_wav/p239_059.wav,That's been the difference between the sides.
noisy_trainset_28spk_wav/p243_371.wav,clean_trainset_28spk_wav/p243_371.wav,We have been going for three years.
noisy_trainset_28spk_wav/p227_352.wav,clean_trainset_28spk_wav/p227_352.wav,There was no time scale.
noisy_trainset_28spk_wav/p274_443.wav,clean_trainset_28spk_wav/p274_443.wav,"Last week against Nelson, we allowed them several opportunities.)"
noisy_trainset_28spk_wav/p227_392.wav,clean_trainset_28spk_wav/p227_392.wav,That's not like us at all.
noisy_trainset_28spk_wav/p256_064.wav,clean_trainset_28spk_wav/p256_064.wav,And a film maker was born.
noisy_trainset_28spk_wav/p228_320.wav,clean_trainset_28spk_wav/p228_320.wav,My first concern is for the safety of the public.
noisy_trainset_28spk_wav/p244_037.wav,clean_trainset_28spk_wav/p244_037.wav,History is in the making.
noisy_trainset_28spk_wav/p239_369.wav,clean_trainset_28spk_wav/p239_369.wav,They are the innocent victims.
noisy_trainset_28spk_wav/p268_316.wav,clean_trainset_28spk_wav/p268_316.wav,It comes from reflection or thinking.
noisy_trainset_28spk_wav/p269_287.wav,clean_trainset_28spk_wav/p269_287.wav,They were too hard.
noisy_trainset_28spk_wav/p258_135.wav,clean_trainset_28spk_wav/p258_135.wav,I am totally devoted to this job.
noisy_trainset_28spk_wav/p250_302.wav,clean_trainset_28spk_wav/p250_302.wav,It was an easy decision to come here.
noisy_trainset_28spk_wav/p227_028.wav,clean_trainset_28spk_wav/p227_028.wav,We will look into it.
noisy_trainset_28spk_wav/p243_007.wav,clean_trainset_28spk_wav/p243_007.wav,The rainbow is a division of white light into many beautiful colors.
noisy_trainset_28spk_wav/p227_106.wav,clean_trainset_28spk_wav/p227_106.wav,It is safe in our hands.
noisy_trainset_28spk_wav/p269_387.wav,clean_trainset_28spk_wav/p269_387.wav,I am very happy with life.
noisy_trainset_28spk_wav/p239_011.wav,clean_trainset_28spk_wav/p239_011.wav,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."
noisy_trainset_28spk_wav/p226_179.wav,clean_trainset_28spk_wav/p226_179.wav,No-one has appeared in court in relation to her death.
noisy_trainset_28spk_wav/p228_260.wav,clean_trainset_28spk_wav/p228_260.wav,I have never been a close friend of Jim McLean.
noisy_trainset_28spk_wav/p228_316.wav,clean_trainset_28spk_wav/p228_316.wav,"Inside, the atmosphere was quiet."
noisy_trainset_28spk_wav/p286_054.wav,clean_trainset_28spk_wav/p286_054.wav,"So is that it, then ?"
noisy_trainset_28spk_wav/p236_145.wav,clean_trainset_28spk_wav/p236_145.wav,We will provide immediate access.
noisy_trainset_28spk_wav/p287_236.wav,clean_trainset_28spk_wav/p287_236.wav,I am still waiting for a reply.
noisy_trainset_28spk_wav/p239_258.wav,clean_trainset_28spk_wav/p239_258.wav,ADVENTURE is the champagne of life.
noisy_trainset_28spk_wav/p244_177.wav,clean_trainset_28spk_wav/p244_177.wav,They have not been named.
noisy_trainset_28spk_wav/p231_333.wav,clean_trainset_28spk_wav/p231_333.wav,"However, the groups denied the claims."
noisy_trainset_28spk_wav/p244_352.wav,clean_trainset_28spk_wav/p244_352.wav,He has been told by the doctor to rest.
noisy_trainset_28spk_wav/p276_096.wav,clean_trainset_28spk_wav/p276_096.wav,The coach is a man who is very ambitious.
noisy_trainset_28spk_wav/p233_252.wav,clean_trainset_28spk_wav/p233_252.wav,A friendship that will endure.
noisy_trainset_28spk_wav/p250_104.wav,clean_trainset_28spk_wav/p250_104.wav,"The allegations were still under investigation, he added."
noisy_trainset_28spk_wav/p244_173.wav,clean_trainset_28spk_wav/p244_173.wav,We were all over the place in the first half.
noisy_trainset_28spk_wav/p256_235.wav,clean_trainset_28spk_wav/p256_235.wav,"It's a lovely, lovely film."
noisy_trainset_28spk_wav/p282_089.wav,clean_trainset_28spk_wav/p282_089.wav,The city council is a major property owner in the area.
noisy_trainset_28spk_wav/p278_014.wav,clean_trainset_28spk_wav/p278_014.wav,To the Hebrews it was a token that there would be no more universal floods.
noisy_trainset_28spk_wav/p274_114.wav,clean_trainset_28spk_wav/p274_114.wav,It was a good game to watch.)
noisy_trainset_28spk_wav/p233_258.wav,clean_trainset_28spk_wav/p233_258.wav,There will be tough opponents to this report.
noisy_trainset_28spk_wav/p250_045.wav,clean_trainset_28spk_wav/p250_045.wav,Why do you want to come to Edinburgh ?
noisy_trainset_28spk_wav/p230_116.wav,clean_trainset_28spk_wav/p230_116.wav,Lady Thatcher was the only woman with full membership.
noisy_trainset_28spk_wav/p274_050.wav,clean_trainset_28spk_wav/p274_050.wav,The outcome of their game isn't the important thing.)
noisy_trainset_28spk_wav/p236_292.wav,clean_trainset_28spk_wav/p236_292.wav,She failed in her action.
noisy_trainset_28spk_wav/p279_316.wav,clean_trainset_28spk_wav/p279_316.wav,Craig is a major concern for us.
noisy_trainset_28spk_wav/p231_208.wav,clean_trainset_28spk_wav/p231_208.wav,I won't make an official complaint.
noisy_trainset_28spk_wav/p231_217.wav,clean_trainset_28spk_wav/p231_217.wav,He has a lot of skill.
noisy_trainset_28spk_wav/p268_327.wav,clean_trainset_28spk_wav/p268_327.wav,British Midland has applied for permission to fly to the US.
noisy_trainset_28spk_wav/p273_274.wav,clean_trainset_28spk_wav/p273_274.wav,It was an easy decision to come here.
noisy_trainset_28spk_wav/p236_047.wav,clean_trainset_28spk_wav/p236_047.wav,Everything else is a bonus.
noisy_trainset_28spk_wav/p286_081.wav,clean_trainset_28spk_wav/p286_081.wav,It's all going to clear the debt.
noisy_trainset_28spk_wav/p231_270.wav,clean_trainset_28spk_wav/p231_270.wav,On the contrary they stand to gain.
noisy_trainset_28spk_wav/p239_129.wav,clean_trainset_28spk_wav/p239_129.wav,What form did that take ?
noisy_trainset_28spk_wav/p276_137.wav,clean_trainset_28spk_wav/p276_137.wav,He had missed a penalty against the English.
noisy_trainset_28spk_wav/p230_070.wav,clean_trainset_28spk_wav/p230_070.wav,It looks like a hit.
noisy_trainset_28spk_wav/p231_242.wav,clean_trainset_28spk_wav/p231_242.wav,She took them for a term.
noisy_trainset_28spk_wav/p279_154.wav,clean_trainset_28spk_wav/p279_154.wav,We also enjoyed a lot of support.
noisy_trainset_28spk_wav/p270_403.wav,clean_trainset_28spk_wav/p270_403.wav,There's still no-one like him.
noisy_trainset_28spk_wav/p236_362.wav,clean_trainset_28spk_wav/p236_362.wav,It's only a matter of scale.
noisy_trainset_28spk_wav/p273_029.wav,clean_trainset_28spk_wav/p273_029.wav,"Nonetheless, the overall picture is healthy."
noisy_trainset_28spk_wav/p282_312.wav,clean_trainset_28spk_wav/p282_312.wav,Henman has been warned.
noisy_trainset_28spk_wav/p274_424.wav,clean_trainset_28spk_wav/p274_424.wav,Not that Scotland can claim the moral high ground.)
noisy_trainset_28spk_wav/p228_204.wav,clean_trainset_28spk_wav/p228_204.wav,Is that success ?
noisy_trainset_28spk_wav/p287_398.wav,clean_trainset_28spk_wav/p287_398.wav,Had this been common practice ?
noisy_trainset_28spk_wav/p268_048.wav,clean_trainset_28spk_wav/p268_048.wav,You must always attempt to raise the bar.
noisy_trainset_28spk_wav/p259_438.wav,clean_trainset_28spk_wav/p259_438.wav,This market has been neglected by the whisky industry.)
noisy_trainset_28spk_wav/p277_169.wav,clean_trainset_28spk_wav/p277_169.wav,"It's hard enough for a father, anyway, and I was forever grateful."
noisy_trainset_28spk_wav/p287_051.wav,clean_trainset_28spk_wav/p287_051.wav,It depends on the couple.
noisy_trainset_28spk_wav/p233_275.wav,clean_trainset_28spk_wav/p233_275.wav,It was an easy decision to come here.
noisy_trainset_28spk_wav/p274_083.wav,clean_trainset_28spk_wav/p274_083.wav,Our mother is very worried.)
noisy_trainset_28spk_wav/p278_179.wav,clean_trainset_28spk_wav/p278_179.wav,His team management was protective.
noisy_trainset_28spk_wav/p287_125.wav,clean_trainset_28spk_wav/p287_125.wav,The money needs to go to the front line.
noisy_trainset_28spk_wav/p233_191.wav,clean_trainset_28spk_wav/p233_191.wav,There is no point in looking any further.
noisy_trainset_28spk_wav/p250_058.wav,clean_trainset_28spk_wav/p250_058.wav,She said she was really sorry.
noisy_trainset_28spk_wav/p233_216.wav,clean_trainset_28spk_wav/p233_216.wav,The aim is to have the reports online by this autumn.
noisy_trainset_28spk_wav/p243_272.wav,clean_trainset_28spk_wav/p243_272.wav,The lack of joint action left many analysts concerned.
noisy_trainset_28spk_wav/p278_191.wav,clean_trainset_28spk_wav/p278_191.wav,It could be done by experts and lawyers.
noisy_trainset_28spk_wav/p230_186.wav,clean_trainset_28spk_wav/p230_186.wav,He prefers to play for them.
noisy_trainset_28spk_wav/p258_370.wav,clean_trainset_28spk_wav/p258_370.wav,I am a star.
noisy_trainset_28spk_wav/p239_460.wav,clean_trainset_28spk_wav/p239_460.wav,Further savings would arise from common procurement and IT systems.
noisy_trainset_28spk_wav/p239_015.wav,clean_trainset_28spk_wav/p239_015.wav,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
noisy_trainset_28spk_wav/p227_279.wav,clean_trainset_28spk_wav/p227_279.wav,On the contrary they stand to gain.
noisy_trainset_28spk_wav/p279_406.wav,clean_trainset_28spk_wav/p279_406.wav,Senior management in Scotland threw its weight behind the orchestra.
noisy_trainset_28spk_wav/p276_095.wav,clean_trainset_28spk_wav/p276_095.wav,He's not getting into any games.
noisy_trainset_28spk_wav/p236_469.wav,clean_trainset_28spk_wav/p236_469.wav,When people talk about the Beach Boys and Brian Wilson.
noisy_trainset_28spk_wav/p273_137.wav,clean_trainset_28spk_wav/p273_137.wav,One letter from a teacher arrived at Christmas.
noisy_trainset_28spk_wav/p250_309.wav,clean_trainset_28spk_wav/p250_309.wav,"She has fallen in love with Scotland, however."
noisy_trainset_28spk_wav/p250_320.wav,clean_trainset_28spk_wav/p250_320.wav,We would hope to make progress on that next year.
noisy_trainset_28spk_wav/p274_130.wav,clean_trainset_28spk_wav/p274_130.wav,That would open the gates of hell.)
noisy_trainset_28spk_wav/p258_217.wav,clean_trainset_28spk_wav/p258_217.wav,He seemed to lose his focus.
noisy_trainset_28spk_wav/p227_164.wav,clean_trainset_28spk_wav/p227_164.wav,There is no signature on this document.
noisy_trainset_28spk_wav/p236_003.wav,clean_trainset_28spk_wav/p236_003.wav,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob."
noisy_trainset_28spk_wav/p287_341.wav,clean_trainset_28spk_wav/p287_341.wav,The problems began a long time ago.
noisy_trainset_28spk_wav/p236_337.wav,clean_trainset_28spk_wav/p236_337.wav,"In his absence, the council adopted the change."
noisy_trainset_28spk_wav/p258_179.wav,clean_trainset_28spk_wav/p258_179.wav,Four policemen were wounded.
noisy_trainset_28spk_wav/p227_282.wav,clean_trainset_28spk_wav/p227_282.wav,It does not work that way in Scottish football.
noisy_trainset_28spk_wav/p278_067.wav,clean_trainset_28spk_wav/p278_067.wav,The fans would love it.
noisy_trainset_28spk_wav/p236_018.wav,clean_trainset_28spk_wav/p236_018.wav,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
noisy_trainset_28spk_wav/p254_178.wav,clean_trainset_28spk_wav/p254_178.wav,The hotel was now for sale.
noisy_trainset_28spk_wav/p268_026.wav,clean_trainset_28spk_wav/p268_026.wav,He got very close tonight.
noisy_trainset_28spk_wav/p273_012.wav,clean_trainset_28spk_wav/p273_012.wav,Throughout the centuries people have explained the rainbow in various ways.
noisy_trainset_28spk_wav/p268_072.wav,clean_trainset_28spk_wav/p268_072.wav,We deserved the three points.
noisy_trainset_28spk_wav/p273_105.wav,clean_trainset_28spk_wav/p273_105.wav,The pressure is on them.
noisy_trainset_28spk_wav/p268_101.wav,clean_trainset_28spk_wav/p268_101.wav,Are you going to win ?
noisy_trainset_28spk_wav/p277_080.wav,clean_trainset_28spk_wav/p277_080.wav,He was at home with his pals.
noisy_trainset_28spk_wav/p243_239.wav,clean_trainset_28spk_wav/p243_239.wav,Jim was down there with his wife.
noisy_trainset_28spk_wav/p256_301.wav,clean_trainset_28spk_wav/p256_301.wav,Our task is to complete the picture.
noisy_trainset_28spk_wav/p254_330.wav,clean_trainset_28spk_wav/p254_330.wav,They haven't got a hope.
noisy_trainset_28spk_wav/p286_366.wav,clean_trainset_28spk_wav/p286_366.wav,He expected a conclusion by next Thursday.
noisy_trainset_28spk_wav/p236_283.wav,clean_trainset_28spk_wav/p236_283.wav,She always wanted her own way.
noisy_trainset_28spk_wav/p233_174.wav,clean_trainset_28spk_wav/p233_174.wav,It's that sort of night.
noisy_trainset_28spk_wav/p279_137.wav,clean_trainset_28spk_wav/p279_137.wav,You've got to be vigilant.
noisy_trainset_28spk_wav/p273_254.wav,clean_trainset_28spk_wav/p273_254.wav,No production contract is yet in sight.
noisy_trainset_28spk_wav/p250_367.wav,clean_trainset_28spk_wav/p250_367.wav,The Allies intend to maintain the average.
noisy_trainset_28spk_wav/p231_461.wav,clean_trainset_28spk_wav/p231_461.wav,They were good years for him.
noisy_trainset_28spk_wav/p227_367.wav,clean_trainset_28spk_wav/p227_367.wav,Does it matter ?
noisy_trainset_28spk_wav/p244_104.wav,clean_trainset_28spk_wav/p244_104.wav,The trick is to try it.
noisy_trainset_28spk_wav/p228_187.wav,clean_trainset_28spk_wav/p228_187.wav,They will run a mile.
noisy_trainset_28spk_wav/p279_256.wav,clean_trainset_28spk_wav/p279_256.wav,"That was a bonus, but it was not the main objective."
noisy_trainset_28spk_wav/p236_191.wav,clean_trainset_28spk_wav/p236_191.wav,Each case is treated on merit.
noisy_trainset_28spk_wav/p230_051.wav,clean_trainset_28spk_wav/p230_051.wav,I have made that offer.
noisy_trainset_28spk_wav/p273_019.wav,clean_trainset_28spk_wav/p273_019.wav,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."
noisy_trainset_28spk_wav/p268_180.wav,clean_trainset_28spk_wav/p268_180.wav,This is a milestone in the modernisation of the Scottish prosecution service.
noisy_trainset_28spk_wav/p258_072.wav,clean_trainset_28spk_wav/p258_072.wav,This is the way things should be handled.
noisy_trainset_28spk_wav/p267_029.wav,clean_trainset_28spk_wav/p267_029.wav,Because we do not need it.
noisy_trainset_28spk_wav/p259_110.wav,clean_trainset_28spk_wav/p259_110.wav,"While they went on holiday, we got the contract.)"
noisy_trainset_28spk_wav/p236_429.wav,clean_trainset_28spk_wav/p236_429.wav,"Edinburgh, in fact, was not included in the survey."
noisy_trainset_28spk_wav/p233_260.wav,clean_trainset_28spk_wav/p233_260.wav,I was happily surprised.
noisy_trainset_28spk_wav/p277_039.wav,clean_trainset_28spk_wav/p277_039.wav,"We have to pull together, or we will hang apart."
noisy_trainset_28spk_wav/p267_144.wav,clean_trainset_28spk_wav/p267_144.wav,It was by the numbers.
noisy_trainset_28spk_wav/p236_124.wav,clean_trainset_28spk_wav/p236_124.wav,The abuse of elderly people was appalling.
noisy_trainset_28spk_wav/p259_103.wav,clean_trainset_28spk_wav/p259_103.wav,It's good to have a voice.)
noisy_trainset_28spk_wav/p254_073.wav,clean_trainset_28spk_wav/p254_073.wav,They're appalled by that.
noisy_trainset_28spk_wav/p231_098.wav,clean_trainset_28spk_wav/p231_098.wav,We live by the rule of law.
noisy_trainset_28spk_wav/p227_400.wav,clean_trainset_28spk_wav/p227_400.wav,"However, there is an issue, isn't there ?"
noisy_trainset_28spk_wav/p236_486.wav,clean_trainset_28spk_wav/p236_486.wav,"However, he emphasised the bank was satisfied with progress."
noisy_trainset_28spk_wav/p226_075.wav,clean_trainset_28spk_wav/p226_075.wav,"Painful, but only because it's true."
noisy_trainset_28spk_wav/p286_257.wav,clean_trainset_28spk_wav/p286_257.wav,A succession of managers in the opera company resigned.
noisy_trainset_28spk_wav/p286_441.wav,clean_trainset_28spk_wav/p286_441.wav,Everything in golf is a balance.
noisy_trainset_28spk_wav/p236_131.wav,clean_trainset_28spk_wav/p236_131.wav,We will try to find someone.
noisy_trainset_28spk_wav/p270_073.wav,clean_trainset_28spk_wav/p270_073.wav,She declined to give the reasons for the decision.
noisy_trainset_28spk_wav/p286_030.wav,clean_trainset_28spk_wav/p286_030.wav,"She has fallen in love with Scotland, however."
noisy_trainset_28spk_wav/p287_382.wav,clean_trainset_28spk_wav/p287_382.wav,This remains the party's policy.
noisy_trainset_28spk_wav/p243_055.wav,clean_trainset_28spk_wav/p243_055.wav,Andy was a huge influence yet again.
noisy_trainset_28spk_wav/p276_399.wav,clean_trainset_28spk_wav/p276_399.wav,You should always be able to get out in some direction.
noisy_trainset_28spk_wav/p259_182.wav,clean_trainset_28spk_wav/p259_182.wav,"If that's the case, he will struggle.)"
noisy_trainset_28spk_wav/p270_169.wav,clean_trainset_28spk_wav/p270_169.wav,She returned to the theatre.
noisy_trainset_28spk_wav/p277_350.wav,clean_trainset_28spk_wav/p277_350.wav,"Six of the asylum seekers left the offices, it was reported."
noisy_trainset_28spk_wav/p256_229.wav,clean_trainset_28spk_wav/p256_229.wav,I am very sorry that Alastair Campbell has taken this decision.
noisy_trainset_28spk_wav/p227_084.wav,clean_trainset_28spk_wav/p227_084.wav,Potions said he would drive.
noisy_trainset_28spk_wav/p287_199.wav,clean_trainset_28spk_wav/p287_199.wav,The sanctions are about collective punishment.
noisy_trainset_28spk_wav/p256_100.wav,clean_trainset_28spk_wav/p256_100.wav,There was no rescue.
noisy_trainset_28spk_wav/p239_417.wav,clean_trainset_28spk_wav/p239_417.wav,The baby deserves the credit.
noisy_trainset_28spk_wav/p239_321.wav,clean_trainset_28spk_wav/p239_321.wav,Confidence among the allies began to slip.
noisy_trainset_28spk_wav/p244_301.wav,clean_trainset_28spk_wav/p244_301.wav,"However, it is understood that offers of further payments are unlikely."
noisy_trainset_28spk_wav/p226_231.wav,clean_trainset_28spk_wav/p226_231.wav,The track is currently covered in snow.
noisy_trainset_28spk_wav/p258_224.wav,clean_trainset_28spk_wav/p258_224.wav,It's so special.
noisy_trainset_28spk_wav/p233_230.wav,clean_trainset_28spk_wav/p233_230.wav,We played them off the pitch.
noisy_trainset_28spk_wav/p250_402.wav,clean_trainset_28spk_wav/p250_402.wav,Theatre is not a museum.
noisy_trainset_28spk_wav/p287_177.wav,clean_trainset_28spk_wav/p287_177.wav,People like to talk about these things.
noisy_trainset_28spk_wav/p286_201.wav,clean_trainset_28spk_wav/p286_201.wav,We represent a wide range of society.
noisy_trainset_28spk_wav/p233_150.wav,clean_trainset_28spk_wav/p233_150.wav,He felt that everything that was said about asylum seekers was negative.
noisy_trainset_28spk_wav/p259_059.wav,clean_trainset_28spk_wav/p259_059.wav,He also has a Scottish grandfather.)
noisy_trainset_28spk_wav/p276_049.wav,clean_trainset_28spk_wav/p276_049.wav,Overall it has been deeply frustrating and disappointing.
noisy_trainset_28spk_wav/p250_380.wav,clean_trainset_28spk_wav/p250_380.wav,There is no deal as yet.
noisy_trainset_28spk_wav/p269_084.wav,clean_trainset_28spk_wav/p269_084.wav,That is bound to happen.
noisy_trainset_28spk_wav/p259_120.wav,clean_trainset_28spk_wav/p259_120.wav,Strathclyde Police are expected to make an announcement next month.)
noisy_trainset_28spk_wav/p278_235.wav,clean_trainset_28spk_wav/p278_235.wav,The City welcomed the brighter outlook.
noisy_trainset_28spk_wav/p259_126.wav,clean_trainset_28spk_wav/p259_126.wav,We did what we had to do.)
noisy_trainset_28spk_wav/p276_389.wav,clean_trainset_28spk_wav/p276_389.wav,He said the winner had been chosen by consensus.
noisy_trainset_28spk_wav/p259_395.wav,clean_trainset_28spk_wav/p259_395.wav,"After the match, do you ?)"
noisy_trainset_28spk_wav/p226_021.wav,clean_trainset_28spk_wav/p226_021.wav,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."
noisy_trainset_28spk_wav/p244_078.wav,clean_trainset_28spk_wav/p244_078.wav,That will be the office.
noisy_trainset_28spk_wav/p256_170.wav,clean_trainset_28spk_wav/p256_170.wav,Does that put pressure on us?
noisy_trainset_28spk_wav/p268_288.wav,clean_trainset_28spk_wav/p268_288.wav,Are they free ?
noisy_trainset_28spk_wav/p227_319.wav,clean_trainset_28spk_wav/p227_319.wav,We have a clean bill of health.
noisy_trainset_28spk_wav/p259_029.wav,clean_trainset_28spk_wav/p259_029.wav,He has the courage of the unaware.)
noisy_trainset_28spk_wav/p256_195.wav,clean_trainset_28spk_wav/p256_195.wav,Mr Kennedy is not a candidate for the Scottish Parliament.
noisy_trainset_28spk_wav/p274_286.wav,clean_trainset_28spk_wav/p274_286.wav,"Their findings are published in the journal, Injury Prevention.)"
noisy_trainset_28spk_wav/p287_119.wav,clean_trainset_28spk_wav/p287_119.wav,But he admitted he could not speak for the new owner.
noisy_trainset_28spk_wav/p239_427.wav,clean_trainset_28spk_wav/p239_427.wav,This idea has been around for four years.
noisy_trainset_28spk_wav/p286_079.wav,clean_trainset_28spk_wav/p286_079.wav,Their mandate is to target inflation.
